,UV（PC/APP）,PV（PC/APP,模块浏览量(PC/APP),,,,,模块总使用时间(PC/APP),,,,,资产概况,,,,,公司概况,,,
,,,资产管理,数据报表,盘点管理,用户管理,未知模块,资产管理,数据报表,盘点管理,用户管理,未知模块,资产总数,领用,借用,闲置,退库,子公司,部门,人员
总数,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,243(0),243(0),0(0),0(0),0(0),1(0),14(0),244(0)
天津快乐时代科技发展有限公司,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,233(0),233(0),0(0),0(0),0(0),1(0),0(0),2(0)
北京快乐时代科技发展有限公司,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,10(0),10(0),0(0),0(0),0(0),0(0),14(0),242(0)

总数,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),0(0),1(0)
捷众普惠国际融资租赁有限公司测试,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),0(0),1(0)

总数,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),0(0),1(0)
医凌（上海）信息科技有限公司测试,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),0(0),1(0)

总数,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),0(0),1(0)
北京北森云计算股份有限公司,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),0(0),1(0)

